Username,Rating,Date,Opinion
Gogo,5,2016-09-29 14:41:38,"Warka 22/10/25.<br>Po otwarciu z butelki wydostały się dość wyraźnie szampańskie nuty i alkohol.<br>Przelanie do naczynia dało przepiękną, wysoką i trwałą pianę. Barwa idealnie czarna, lekko zmętniona.<br>Dalej już tylko gorzej...<br>W aromacie oprócz mocnego alkoholu wyczuwalne nuty czekoladowe, trochę kawowe. Profil aromatyczny bardzo ostry.<br>W smaku strasznie nieułożone, agresywne i drapiące w język, podniebienie i przełyk. Alkohol dominuje, nieprzyjemnie podgryza. Poprzez tą alkoholową ścianę próbuje się przebić nuta prawidłowego RISa- kawa i czekolada.<br>To moja pierwsza przygoda z tym piwem (nie jest tanie, więc pewnie szybko do niego nie wrócę). Sądząc po recenzjach myślę, że trafiłem na wyjątkowo złą warkę. Ta obecna jest nieułożona i szczerze mówiąc, myślę że stanie się pijalna po conajmniej 2 latach leżakowania.<br>Ogromny zawód...<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Dougie_Hooy,,2016-05-11 00:20:42,
Nargothrond,10,2016-12-26 21:00:18,Coś wspaniałego.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic
Wiles,10,2016-03-31 18:41:40,"Piwo z najwyższej półki. Gęste, aromatyczne, warte swojej ceny. Zastanawiam się o co chodzi z tą oceną gości... 3 z kawałkiem? Ktoś albo bardzo nie lubi RISów, albo nie lubi BrewDoga, albo... sam nie wiem. Jedno z najlepszych piw jakie piłem!<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
karimatahari,10,2013-12-27 18:56:56,"Eksplozja wrażeń. Po Cocoa Psycho żadne piwo nie ma już sensu. Oczywiście tego samego wieczoru, na drugi dzień jakoś udaje się otrząsnąć :P<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Rovaty,9,2013-09-28 19:15:26,"Pite razem z Kamil_93 i Stacher93, więc opinia zgodna. Dla takich piw warto żyć. Wyśmienite!!<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Thesloma,9,2018-07-16 18:31:04,"Edycja 10,6% <br><br>Zapach : przejęty przez wanilię przez co ukryty alkohol i złagodzony zapach tj. nie jest taki ostry , wanilia powoduje też poczucia trochę orzecha laskowego , z tyłu bardzo paloność , kawa i czekolada.<br><br>Smak : bardzo gładkie , waniliowe co znowu przejmuje początek smaku potem już mocniej wyczuwalna dobrej jakości czekolada i paloność. Struktura dość gęsta , dość syropowa. Wysycenie z początku przeszkadza ale zaraz staje się do zniesienia.<br><br>Dużo tutaj zrobiła wanilia , RIS naprawdę wysoko jakościowo . Jest gładki i alkohol bardzo dobrze ukryty delikatnie grzeje w przełyk i w żołądku. Wyśmienite piwo , polecam spróbować.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
RaV990,,2018-04-17 19:36:50,
prisoner,9,2018-03-28 19:44:39,"Aromat słodziutki dużo czekolady i wanilii, bardzo przyjemny. W smaku na początku wkurza wysycenie bo szczypie w język. Po za tym oleiste, likierowate dużo czekolady, dalej vkawka i nuty palone. Bardzo dobry RiS <div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
walet,9,2017-07-05 23:30:05,"Znakomita lekka IPA , najlepsza jaką do tej pory piłem w Polsce.<br>Fantastyczny smak, świetny zapach, wyjątkowa ""gładkość"" spotykana tylko w dobrych bitterach angielskich i to wszystko przy 4,7% alkoholu.<br>Niech się inne browary uczą od Piwnego Podziemia ,ze nie trzeba<br>6,5/16 żeby piwo było pełne i aromatyczne . <div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Gogo,8,2016-11-08 13:53:21,"Doskonały wzorzec Session IPA- lekkie ale wyraziste, mocno owocowe, niezwykle pijalne. Czuć, że nie oszczędzano tutaj na amerykańskim chmielu.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Dougie_Hooy,,2016-05-10 23:58:18,
Anglik66,9,2018-12-07 21:25:33,"Istne cudo! Wygląd: zamglony, ciemny bursztyn, ciemne. Piana drobnopęcgerzykowa, potem dziurawa, lacing, brązowawa,. Gęste, mętne.<br>Aromat jest piękny, ale nie bez błędów, bo zdominowany przez suszone owoce, śliwkę, lekko miód, rodzynki, wina. Za mało whisky i dechy, trochę zbożowej kawy.<br>Smak: super, choć trochę zbyt słodko. Ułożenie alkoholu dobre.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
bezi2612,9,2018-10-06 08:48:59,"Ten trunek był poprostu pyszny. W smaku jak i zapachu dużo się działo... Dominacja za sprawą dojrzałych owoców z odmian sliwki, rodzynek oraz lekką nutą miodu i wina z lekka kwasowością. W konsystencji zważywszy na ekstrakt gęste i pełne.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Brodzisław,9,2018-04-30 19:02:59,"Kolor miedziany, zamglony, wyraźna zawiesina. Piana écru niezbyt obfita, ze średnich i drobnych pęcherzy, opadając dziurawiła, tworząc nawet duże bąble. <br>Aromat początkowo zdominowany przez beczkę (m.in. wanilia) i whisky, plus nieco drażniący alkohol. Są też owocowe (winogrono, figa, daktyle) i pikantne przyprawy. <br>W smaku piwo jest gęste i lekko słodkawe. Karmelkowo-owocowe nuty kontrowane są torfowo-drewnianymi i niewysoką goryczką. Wyraźna alkoholowość, na szczęście od szlachetniejszych trunków. Na finiszu kwasek. Wysycenie nieco powyżej niskiego. <br>Całkiem udany mikst dwóch stylów.<br><div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Shinodin,8,2018-03-29 22:41:31,"Piana nie do końca biała, drobnoziarnista, wysoka na około pół centymetra, lecz momentalnie dziurawiąca się i opadająca, nie pozostawiająca trwałego lacingu na ściankach szkła. Barwa ciemniejsza bursztynowa, stosunkowo mocno zmętnione, nie do końca klarowne i przejrzyste. W zapachu eleganckie nuty suszonych owoców, śliwki i rodzynki, dużo karmelowych klimatów, winne i wytrawne akcenty, trochę wanilii i beczkowych woni. W smaku suszone owoce grają główną rolę, mamy tutaj dużo słodyczy, wręcz miodowej, goryczka adekwatna do stylu, słabsza kontra kwaskowa, wytrawność wyczuwalna w każdym łyku, dobrze zamaskowany alkohol, wysycenie na średnio-niskim poziomie. Kapsel w opakowaniu, bez loga browaru, etykieta w czarnej kolorystyce, elegancko wykonana graficznie, widać klasę już po opakowaniu, w miarę dobrze opisana. Warka 24.03.2018. Leżakowane ponad półtora roku, degustowane parę dni po terminie przydatności. Interesujące połączenie styli, jednak ja czuję tu zdecydowanie barleya i jego słodowość, belgijskiej przyprawowości jak na lekarstwo. Nie jestem pewien czy leżak ułożył smak, ale z pewnością jest on gładki, 12% zupełnie nie odczuwalne. Wytrawny wyrób od Jana Olbrachta, jednak jak dla mnie nieco za słodki, suszone owoce przykrywają pozostałe aromaty, przez co pod koniec degustacji i po ogrzaniu piwa jest trochę mdło, choć w granicy przyzwoitości. Długo czekałem na próbę Korda i... nie zawiodłem się, ale też nie zachwyciłem. Konkretny Barley wspomagany słodyczą quadrupla, na mniej niż 8 z minusikiem nie zasługuje. Aczkolwiek tak jak wcześniej wspomniałem... zabrakło tego efektu ""wow"" do czegoś więcej. <div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
matixD666,10,2017-05-27 04:32:54,"Moja wersja 18,4 %. Ciężkie piwo, nie powinny tego pić osoby niewprawione w ekstremalne doznania piwne, mogą się zawieść. Moje odczucia - smoła, węgiel, kawa - jakbym zanurzył język w słoiku z kawą. Alkohol niewyczuwalny na języku, ale w brzuchu już grzał.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Gogo,5,2016-09-29 14:41:38,"Warka 22/10/25.<br>Po otwarciu z butelki wydostały się dość wyraźnie szampańskie nuty i alkohol.<br>Przelanie do naczynia dało przepiękną, wysoką i trwałą pianę. Barwa idealnie czarna, lekko zmętniona.<br>Dalej już tylko gorzej...<br>W aromacie oprócz mocnego alkoholu wyczuwalne nuty czekoladowe, trochę kawowe. Profil aromatyczny bardzo ostry.<br>W smaku strasznie nieułożone, agresywne i drapiące w język, podniebienie i przełyk. Alkohol dominuje, nieprzyjemnie podgryza. Poprzez tą alkoholową ścianę próbuje się przebić nuta prawidłowego RISa- kawa i czekolada.<br>To moja pierwsza przygoda z tym piwem (nie jest tanie, więc pewnie szybko do niego nie wrócę). Sądząc po recenzjach myślę, że trafiłem na wyjątkowo złą warkę. Ta obecna jest nieułożona i szczerze mówiąc, myślę że stanie się pijalna po conajmniej 2 latach leżakowania.<br>Ogromny zawód...<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Dougie_Hooy,,2016-05-11 00:20:42,
Nargothrond,10,2016-12-26 21:00:18,Coś wspaniałego.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic
Wiles,10,2016-03-31 18:41:40,"Piwo z najwyższej półki. Gęste, aromatyczne, warte swojej ceny. Zastanawiam się o co chodzi z tą oceną gości... 3 z kawałkiem? Ktoś albo bardzo nie lubi RISów, albo nie lubi BrewDoga, albo... sam nie wiem. Jedno z najlepszych piw jakie piłem!<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
karimatahari,10,2013-12-27 18:56:56,"Eksplozja wrażeń. Po Cocoa Psycho żadne piwo nie ma już sensu. Oczywiście tego samego wieczoru, na drugi dzień jakoś udaje się otrząsnąć :P<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Rovaty,9,2013-09-28 19:15:26,"Pite razem z Kamil_93 i Stacher93, więc opinia zgodna. Dla takich piw warto żyć. Wyśmienite!!<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Thesloma,9,2018-07-16 18:31:04,"Edycja 10,6% <br><br>Zapach : przejęty przez wanilię przez co ukryty alkohol i złagodzony zapach tj. nie jest taki ostry , wanilia powoduje też poczucia trochę orzecha laskowego , z tyłu bardzo paloność , kawa i czekolada.<br><br>Smak : bardzo gładkie , waniliowe co znowu przejmuje początek smaku potem już mocniej wyczuwalna dobrej jakości czekolada i paloność. Struktura dość gęsta , dość syropowa. Wysycenie z początku przeszkadza ale zaraz staje się do zniesienia.<br><br>Dużo tutaj zrobiła wanilia , RIS naprawdę wysoko jakościowo . Jest gładki i alkohol bardzo dobrze ukryty delikatnie grzeje w przełyk i w żołądku. Wyśmienite piwo , polecam spróbować.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
RaV990,,2018-04-17 19:36:50,
prisoner,9,2018-03-28 19:44:39,"Aromat słodziutki dużo czekolady i wanilii, bardzo przyjemny. W smaku na początku wkurza wysycenie bo szczypie w język. Po za tym oleiste, likierowate dużo czekolady, dalej vkawka i nuty palone. Bardzo dobry RiS <div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
walet,9,2017-07-05 23:30:05,"Znakomita lekka IPA , najlepsza jaką do tej pory piłem w Polsce.<br>Fantastyczny smak, świetny zapach, wyjątkowa ""gładkość"" spotykana tylko w dobrych bitterach angielskich i to wszystko przy 4,7% alkoholu.<br>Niech się inne browary uczą od Piwnego Podziemia ,ze nie trzeba<br>6,5/16 żeby piwo było pełne i aromatyczne . <div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Gogo,8,2016-11-08 13:53:21,"Doskonały wzorzec Session IPA- lekkie ale wyraziste, mocno owocowe, niezwykle pijalne. Czuć, że nie oszczędzano tutaj na amerykańskim chmielu.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Dougie_Hooy,,2016-05-10 23:58:18,
Anglik66,9,2018-12-07 21:25:33,"Istne cudo! Wygląd: zamglony, ciemny bursztyn, ciemne. Piana drobnopęcgerzykowa, potem dziurawa, lacing, brązowawa,. Gęste, mętne.<br>Aromat jest piękny, ale nie bez błędów, bo zdominowany przez suszone owoce, śliwkę, lekko miód, rodzynki, wina. Za mało whisky i dechy, trochę zbożowej kawy.<br>Smak: super, choć trochę zbyt słodko. Ułożenie alkoholu dobre.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
bezi2612,9,2018-10-06 08:48:59,"Ten trunek był poprostu pyszny. W smaku jak i zapachu dużo się działo... Dominacja za sprawą dojrzałych owoców z odmian sliwki, rodzynek oraz lekką nutą miodu i wina z lekka kwasowością. W konsystencji zważywszy na ekstrakt gęste i pełne.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Brodzisław,9,2018-04-30 19:02:59,"Kolor miedziany, zamglony, wyraźna zawiesina. Piana écru niezbyt obfita, ze średnich i drobnych pęcherzy, opadając dziurawiła, tworząc nawet duże bąble. <br>Aromat początkowo zdominowany przez beczkę (m.in. wanilia) i whisky, plus nieco drażniący alkohol. Są też owocowe (winogrono, figa, daktyle) i pikantne przyprawy. <br>W smaku piwo jest gęste i lekko słodkawe. Karmelkowo-owocowe nuty kontrowane są torfowo-drewnianymi i niewysoką goryczką. Wyraźna alkoholowość, na szczęście od szlachetniejszych trunków. Na finiszu kwasek. Wysycenie nieco powyżej niskiego. <br>Całkiem udany mikst dwóch stylów.<br><div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Shinodin,8,2018-03-29 22:41:31,"Piana nie do końca biała, drobnoziarnista, wysoka na około pół centymetra, lecz momentalnie dziurawiąca się i opadająca, nie pozostawiająca trwałego lacingu na ściankach szkła. Barwa ciemniejsza bursztynowa, stosunkowo mocno zmętnione, nie do końca klarowne i przejrzyste. W zapachu eleganckie nuty suszonych owoców, śliwki i rodzynki, dużo karmelowych klimatów, winne i wytrawne akcenty, trochę wanilii i beczkowych woni. W smaku suszone owoce grają główną rolę, mamy tutaj dużo słodyczy, wręcz miodowej, goryczka adekwatna do stylu, słabsza kontra kwaskowa, wytrawność wyczuwalna w każdym łyku, dobrze zamaskowany alkohol, wysycenie na średnio-niskim poziomie. Kapsel w opakowaniu, bez loga browaru, etykieta w czarnej kolorystyce, elegancko wykonana graficznie, widać klasę już po opakowaniu, w miarę dobrze opisana. Warka 24.03.2018. Leżakowane ponad półtora roku, degustowane parę dni po terminie przydatności. Interesujące połączenie styli, jednak ja czuję tu zdecydowanie barleya i jego słodowość, belgijskiej przyprawowości jak na lekarstwo. Nie jestem pewien czy leżak ułożył smak, ale z pewnością jest on gładki, 12% zupełnie nie odczuwalne. Wytrawny wyrób od Jana Olbrachta, jednak jak dla mnie nieco za słodki, suszone owoce przykrywają pozostałe aromaty, przez co pod koniec degustacji i po ogrzaniu piwa jest trochę mdło, choć w granicy przyzwoitości. Długo czekałem na próbę Korda i... nie zawiodłem się, ale też nie zachwyciłem. Konkretny Barley wspomagany słodyczą quadrupla, na mniej niż 8 z minusikiem nie zasługuje. Aczkolwiek tak jak wcześniej wspomniałem... zabrakło tego efektu ""wow"" do czegoś więcej. <div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
jover,,2018-12-09 20:51:00,
Marianek,7,2018-01-21 18:59:34,"Oko: czarne. Piana ciemnobrązowa, bardzo gęsta, wysoka i trwała, do tego zostawia silny ślad na szkle, bardziej przypomina porter bałtycki, niż RIS-a.<br>Nos: z butelki solidna dawka palonych nut, na czele z kawa, trochę czekolady, prażone zboże. Z butelki nieco słabszy, to samo co z butelki.<br>Smak: trochę się dzieje. Mamy słodycz od słodów, sporo słodkiej kawy, trochę gorzkiej czekolady. Za to finisz to mieszanka palonych nut, wręcz popiołowości z chmielową. Ciecz ze sporym ciałem, bez nuty alkoholu. wysoka pijalność, nieco ograniczona przez palony finisz. RIS poprawny wręcz do bólu, bez fajerwerków, solidny.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Barbarossa,9,2018-01-13 10:33:13,"Piło się już w życiu nie takie RiSy. To akurat musiało poczekać trochę na swoją kolejkę. Bo już będzie miało około 2 lata. Porównania do świeżego nie mam i już raczej mieć nie będę. Pierwsze po pierwsze, o wyglądzie to tu nie ma co się raczej co rozwodzić, czarne jak sutanna księdza. W zapachu porządny kopniak. No chyba najlepszy tutaj punkt. Zajebiście pachnie, wszystko co powinno być wyczuwalne tutaj jest. Od kawy, po czekoladki z rumem. Jest wyczuwalny alkohol, o dziwo jest, ale bardzo szlachetny i przyjemny. W smaku też, słodkie jest, ale nie mocno, z wyraźnymi nutami rumowymi, które w połączeniu z risowym smakiem daje wrażenie czekoladek z rumem, które tak porządnie i przyjemnie rozgrzewają w przełyk. Jajec to mi może to nie urwało, ale myślę że piwo warte uwagi. (chodź wątpię że ktokolwiek zdobędzie okazję do spróbowania tego specjału, po za wydaniem nowej warki)<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
